event_id,event_type,event_name,start_date,end_date,location,parties_involved,description,impact_level,related_war_id,related_tech_id,related_finance_id,data_source
W001,war,克里米亚战争,1853-10-16,1856-03-30,克里米亚半岛,俄罗斯 vs 英法土联军,19世纪中期重要国际战争，现代化战争开端，催生了战地医疗和铁路军事运输,high,,,,UCDP/PRIO
W002,war,普法战争,1870-07-19,1871-05-10,法国-普鲁士边境,普鲁士 vs 法国,德意志统一的关键战争，展示了铁路动员和总参谋部制度的优势,high,,,,UCDP/PRIO
W003,war,第一次世界大战,1914-07-28,1918-11-11,欧洲/中东/非洲,同盟国 vs 协约国,人类历史上首次全球性战争，催生了坦克、毒气、飞机等新技术，导致四大帝国崩溃,very_high,,,,UCDP/PRIO
W004,war,第二次世界大战,1939-09-01,1945-09-02,全球,轴心国 vs 同盟国,人类历史上规模最大的战争，催生了雷达、原子弹、青霉素等重大技术突破，重塑了世界秩序,very_high,,,,UCDP/PRIO
W005,war,朝鲜战争,1950-06-25,1953-07-27,朝鲜半岛,朝鲜/中国 vs 韩国/联合国军,冷战时期第一场热战，推动了喷气式战斗机和直升机技术的发展,high,,,,UCDP/PRIO
W006,war,越南战争,1955-11-01,1975-04-30,越南,北越 vs 南越/美国,美国历史上最长的战争，催生了精确制导武器和电子战技术,high,,,,UCDP/PRIO
W007,war,海湾战争,1990-08-02,1991-02-28,伊拉克/科威特,伊拉克 vs 多国部队,展示了信息化战争的威力，GPS和精确制导武器首次大规模应用,high,,,,UCDP/PRIO
W008,war,阿富汗战争,2001-10-07,2021-08-30,阿富汗,塔利班 vs 美国/北约,美国历史上最长的战争，推动了无人机和网络战技术的发展,medium,,,,UCDP/PRIO
W009,war,伊拉克战争,2003-03-20,2011-12-15,伊拉克,伊拉克 vs 美国/联军,展示了网络中心战的概念，但也暴露了军事占领的困难,medium,,,,UCDP/PRIO
W010,war,俄乌冲突,2014-03-18,进行中,乌克兰,俄罗斯 vs 乌克兰,21世纪规模最大的地面战争，展示了混合战争和网络战的新形态,high,,,,UCDP/PRIO
T001,technology,电报技术,1837-01-01,1844-01-01,全球,塞缪尔·莫尔斯,第一次实现远距离即时通信，革命性地改变了军事指挥和商业通信,high,,,,专利数据库
T002,technology,铁路技术,1825-01-01,1850-01-01,英国/欧洲,乔治·史蒂芬森,实现了人员和物资的快速大规模运输，改变了战争动员方式,high,,,,专利数据库
T003,technology,后装填步枪,1841-01-01,1866-01-01,普鲁士,德莱塞,普鲁士军队在普奥战争中取得优势的关键技术,high,,,,军事史文献
T004,technology,铁甲舰,1859-01-01,1862-01-01,法国/美国,法国海军,克里米亚战争后发展，改变了海战形态，标志着风帆战舰时代的结束,high,,,,军事史文献
T005,technology,机关枪,1862-01-01,1884-01-01,美国,加特林/马克沁,大大提高了步兵火力密度，导致一战堑壕战的产生,very_high,,,,专利数据库
T006,technology,无烟火药,1884-01-01,1886-01-01,法国,保罗·维埃耶,减少了枪口烟雾，提高了射击精度和隐蔽性,high,,,,专利数据库
T007,technology,坦克,1916-09-15,1918-11-11,英国,英国陆军,一战中为打破堑壕战僵局而发明，改变了陆战形态,very_high,,,,军事史文献
T008,technology,毒气战,1915-04-22,1918-11-11,德国,弗里茨·哈伯,首次大规模化学武器使用，催生了防毒面具和化学工业,high,,,,军事史文献
T009,technology,军用飞机,1914-08-01,1918-11-11,法国/德国,多国,从一战的侦察机发展到战斗机和轰炸机，改变了战争维度,very_high,,,,航空史文献
T010,technology,航空母舰,1917-01-01,1941-12-07,英国/美国,英国海军,二战中成为海战主力，日本偷袭珍珠港证明了其价值,very_high,,,,军事史文献
T011,technology,雷达,1935-01-01,1940-01-01,英国/德国,罗伯特·沃森-瓦特,二战三大发明之一，不列颠空战的关键技术，被称为保命的技术,very_high,,,,专利数据库
T012,technology,原子弹,1945-07-16,1945-08-09,美国,曼哈顿计划,二战三大发明之一，改变了战争性质和国际关系，被称为丧命的技术,very_high,,,,核物理文献
T013,technology,青霉素,1928-09-01,1943-01-01,英国/美国,亚历山大·弗莱明,二战三大发明之一，大大降低了战场伤亡率，被称为救命的技术,very_high,,,,医学史文献
T014,technology,喷气式发动机,1939-08-27,1944-01-01,德国/英国,汉斯·冯·奥海恩/弗兰克·惠特尔,大大提高了飞机速度和高度，改变了空战形态,high,,,,航空史文献
T015,technology,计算机ENIAC,1946-02-14,1951-01-01,美国,宾夕法尼亚大学,为计算弹道而发明，开启了信息时代,very_high,,,,计算机史文献
T016,technology,晶体管,1947-12-16,1954-01-01,美国,贝尔实验室,取代了真空管，为现代电子设备和计算机奠定基础,very_high,,,,专利数据库
T017,technology,集成电路,1958-09-12,1961-01-01,美国,杰克·基尔比/罗伯特·诺伊斯,使电子设备小型化，催生了现代计算机产业,very_high,,,,专利数据库
T018,technology,互联网ARPANET,1969-10-29,1983-01-01,美国,美国国防部,冷战期间为军事通信而建立，最终演变为全球互联网,very_high,,,,互联网史文献
T019,technology,GPS全球定位系统,1978-02-22,1995-07-17,美国,美国国防部,为军事导航而开发，现已广泛应用于民用领域,high,,,,航天史文献
T020,technology,无人机,1995-01-01,2001-10-01,美国/以色列,美国军方,从侦察工具发展为精确打击平台，改变了现代战争形态,high,,,,军事技术文献
T021,technology,网络战技术,2007-01-01,2010-01-01,美国/以色列,各国军方,震网病毒攻击伊朗核设施，开启了网络战时代,high,,,,网络安全文献
T022,technology,人工智能军事应用,2010-01-01,2020-01-01,美国/中国,各国军方,自动驾驶、目标识别、决策辅助等AI技术在军事领域的应用,high,,,,军事技术文献
F001,finance,美国内战战争债券,1861-01-01,1865-01-01,美国,美国联邦政府,大规模发行战争债券融资，建立了现代国债体系,high,,,,金融史文献
F002,finance,金本位制确立,1870-01-01,1914-01-01,全球,主要工业国,确立了国际货币体系，促进了全球贸易和投资,high,,,,金融史文献
F003,finance,1929年华尔街股灾,1929-10-24,1929-10-29,美国,纽约证券交易所,引发了全球大萧条，改变了金融监管体系,very_high,,,,金融史文献
F004,finance,布雷顿森林体系建立,1944-07-01,1944-07-22,美国,44国代表,确立了美元-黄金本位制，建立了IMF和世界银行,very_high,,,,金融史文献
F005,finance,马歇尔计划,1948-04-03,1952-01-01,欧洲,美国,130亿美元援助西欧重建，推动了欧洲一体化,high,,,,经济史文献
F006,finance,1971年尼克松冲击,1971-08-15,1971-08-15,美国,尼克松政府,美元与黄金脱钩，布雷顿森林体系开始崩溃,very_high,,,,金融史文献
F007,finance,1973年石油危机,1973-10-17,1974-03-18,全球,OPEC,石油价格暴涨，引发了全球经济危机，催生了节能技术,very_high,,,,经济史文献
F008,finance,1979年第二次石油危机,1979-01-01,1980-01-01,全球,OPEC,伊朗革命导致石油供应中断，再次引发能源危机,high,,,,经济史文献
F009,finance,广场协议,1985-09-22,1985-09-22,美国,五国财长,美元贬值协议，影响了日本经济泡沫的形成,high,,,,金融史文献
F010,finance,1987年黑色星期一,1987-10-19,1987-10-19,全球,全球股市,道琼斯指数单日暴跌22.6%，引发全球股市崩盘,high,,,,金融史文献
F011,finance,1997年亚洲金融危机,1997-07-02,1998-01-01,亚洲,泰国/印尼/韩国等,货币贬值、股市崩盘，IMF救助计划,high,,,,金融史文献
F012,finance,2000年互联网泡沫破裂,2000-03-10,2002-10-09,美国,纳斯达克,科技股暴跌，互联网公司大量倒闭,high,,,,金融史文献
F013,finance,2008年全球金融危机,2008-09-15,2009-01-01,全球,雷曼兄弟等,次贷危机引发全球金融海啸，改变了金融监管体系,very_high,,,,金融史文献
F014,finance,量化宽松政策,2008-11-25,2014-10-29,美国,美联储,大规模购买资产，影响全球资本流动,high,,,,金融史文献
F015,finance,2015年人民币汇改,2015-08-11,2015-08-11,中国,中国人民银行,人民币汇率形成机制改革，影响全球外汇市场,medium,,,,金融史文献
F016,finance,2020年新冠疫情金融冲击,2020-03-01,2020-04-01,全球,全球金融市场,股市暴跌、油价崩盘、大规模财政刺激,high,,,,金融史文献
R001,relation,催生,1914-07-28,1918-11-11,欧洲,W003,T007,一战催生了坦克技术的发明和应用,high,W003,T007,,关系数据库
R002,relation,催生,1939-09-01,1945-09-02,全球,W004,T011,二战催生了雷达技术的快速发展,very_high,W004,T011,,关系数据库
R003,relation,催生,1939-09-01,1945-09-02,全球,W004,T012,曼哈顿计划是二战最大的科研项目,very_high,W004,T012,,关系数据库
R004,relation,催生,1939-09-01,1945-09-02,全球,W004,T013,二战需求推动了青霉素的工业化生产,very_high,W004,T013,,关系数据库
R005,relation,应用于,1940-01-01,1945-09-02,英国,W004,T011,雷达在不列颠空战中发挥了关键作用,very_high,W004,T011,,关系数据库
R006,relation,应用于,1945-08-06,1945-08-09,日本,W004,T012,原子弹在广岛和长崎的使用结束了二战,very_high,W004,T012,,关系数据库
R007,relation,融资,1941-01-01,1945-09-02,美国,W004,F004,二战推动了布雷顿森林体系的建立,very_high,W004,F004,,关系数据库
R008,relation,影响,1914-07-28,1929-10-24,全球,W003,F003,一战后的经济问题为1929年大萧条埋下伏笔,high,W003,F003,,关系数据库
R009,relation,影响,1929-10-24,1939-09-01,全球,F003,W004,大萧条为二战爆发创造了条件,high,F003,W004,,关系数据库
R010,relation,投资,1969-01-01,1983-01-01,美国,T018,F004,冷战期间美国国防部投资建立了ARPANET,high,T018,F004,,关系数据库
R011,relation,商业化,1990-01-01,2000-03-10,美国,T018,F012,互联网商业化催生了科技股泡沫,high,T018,F012,,关系数据库
R012,relation,投资,1957-10-04,1969-07-20,美苏冷战,T016,F004,太空竞赛推动了集成电路和计算机的发展,high,T016,F004,,关系数据库
R013,relation,应用于,1991-01-17,1991-02-28,伊拉克,W007,T019,GPS在海湾战争中首次大规模军事应用,high,W007,T019,,关系数据库
R014,relation,应用于,2001-10-07,2021-08-30,阿富汗,W008,T020,无人机在阿富汗战争中得到广泛应用,high,W008,T020,,关系数据库
R015,relation,融资,2008-09-15,2014-10-29,美国,F013,F014,金融危机催生了量化宽松政策,high,F013,F014,,关系数据库
